,rf_daily
2018-04-24,0.00011729683429184298
2018-04-25,0.00011845246813049719
2018-04-26,0.00011729683429184298
2018-04-27,0.00011575546547531716
2018-04-30,0.00011537002970518716
2018-05-01,0.00011614086381177834
2018-05-02,0.00011614086381177834
2018-05-03,0.00011498455649411583
2018-05-04,0.00011537002970518716
2018-05-07,0.00011537002970518716
2018-05-08,0.00011614086381177834
2018-05-09,0.00011729683429184298
2018-05-10,0.00011614086381177834
2018-05-11,0.00011614086381177834
2018-05-14,0.00011729683429184298
2018-05-15,0.00012037777696854319
2018-05-16,0.00012076272666746792
2018-05-17,0.00012153251405460613
2018-05-18,0.00011960776552375717
2018-05-21,0.00011960776552375717
2018-05-22,0.00011960776552375717
2018-05-23,0.0001176820829663122
2018-05-24,0.0001165262247218412
2018-05-25,0.00011459904583482845
2018-05-29,0.00010842577638448576
2018-05-30,0.00011112776353014819
2018-05-31,0.00011074187798812646
2018-06-01,0.0001130566285699501
2018-06-04,0.00011498455649411583
2018-06-05,0.00011421349772004741
2018-06-06,0.00011614086381177834
2018-06-07,0.00011459904583482845
2018-06-08,0.00011459904583482845
2018-06-11,0.00011575546547531716
2018-06-12,0.00011575546547531716
2018-06-13,0.0001165262247218412
2018-06-14,0.00011498455649411583
2018-06-15,0.00011459904583482845
2018-06-18,0.00011421349772004741
2018-06-19,0.0001130566285699501
2018-06-20,0.00011459904583482845
2018-06-21,0.00011344228909489076
2018-06-22,0.00011344228909489076
2018-06-25,0.00011228519505891767
2018-06-26,0.0001126709305603882
2018-06-27,0.00011074187798812646
2018-06-28,0.00011112776353014819
2018-06-29,0.0001115136115510904
2018-07-02,0.00011228519505891767
2018-07-03,0.00011074187798812646
2018-07-05,0.00011112776353014819
2018-07-06,0.00011035595491772711
2018-07-09,0.00011189942205824895
2018-07-10,0.00011228519505891767
2018-07-11,0.0001115136115510904
2018-07-12,0.0001115136115510904
2018-07-13,0.00011074187798812646
2018-07-16,0.0001115136115510904
2018-07-17,0.00011189942205824895
2018-07-18,0.0001126709305603882
2018-07-19,0.00011112776353014819
2018-07-20,0.0001130566285699501
2018-07-23,0.00011575546547531716
2018-07-24,0.00011537002970518716
